=== Logging started at 2026-07-15 16:08:25 ===
2026-07-15 16:08:26 | mainwindow.cpp @ login [main] - Qt Creator | qtcreator.exe | jack
2026-07-15 16:08:27 | mainwindow.cpp @ login [main] - Qt Creator | qtcreator.exe | jack
2026-07-15 16:08:28 | mainwindow.cpp @ login [main] - Qt Creator | qtcreator.exe | jack
2026-07-15 16:08:29 | Windows PowerShell | WindowsTerminal.exe | jack
2026-07-15 16:08:30 | Mozilla Thunderbird | thunderbird.exe | jack
2026-07-15 16:08:31 | Sent - sumanmondal@globussoft.in - Mozilla Thunderbird | thunderbird.exe | jack
2026-07-15 16:08:32 | Windows PowerShell | WindowsTerminal.exe | jack
2026-07-15 16:08:33 | mainwindow.cpp @ login [main] - Qt Creator | qtcreator.exe | jack
2026-07-15 16:08:34 | Untitled - Notepad | notepad.exe | jack
2026-07-15 16:08:35 | Untitled - Notepad | notepad.exe | jack
2026-07-15 16:08:36 | mainwindow.cpp @ login [main] - Qt Creator | qtcreator.exe | jack
2026-07-15 16:08:37 | mainwindow.cpp @ login [main] - Qt Creator | qtcreator.exe | jack
2026-07-15 16:08:38 | debug | Explorer.EXE | jack
2026-07-15 16:08:39 | Login Window | login.exe | jack
=== Logging started at 2026-07-15 16:29:58 ===
2026-07-15 16:29:59 | mainwindow.cpp @ login [main] - Qt Creator | qtcreator.exe | jack
2026-07-15 16:30:00 | mainwindow.cpp @ login [main] - Qt Creator | qtcreator.exe | jack
2026-07-15 16:30:01 | mainwindow.cpp @ login [main] - Qt Creator | qtcreator.exe | jack
2026-07-15 16:30:02 | mainwindow.cpp @ login [main] - Qt Creator | qtcreator.exe | jack
2026-07-15 16:30:03 | mainwindow.cpp @ login [main] - Qt Creator | qtcreator.exe | jack
2026-07-15 16:30:04 | how to capture frontmost application logs in c++ in windows? - Google Search — Mozilla Firefox | firefox.exe | jack
2026-07-15 16:30:05 | how to capture frontmost application logs in c++ in windows? - Google Search — Mozilla Firefox | firefox.exe | jack
2026-07-15 16:30:06 | how to capture frontmost application logs in c++ in windows? - Google Search — Mozilla Firefox | firefox.exe | jack
2026-07-15 16:30:07 | debug | Explorer.EXE | jack
2026-07-15 16:30:08 | debug | Explorer.EXE | jack
2026-07-15 16:30:09 | Sent - sumanmondal@globussoft.in - Mozilla Thunderbird | thunderbird.exe | jack
2026-07-15 16:30:10 | *Untitled - Notepad | notepad.exe | jack
2026-07-15 16:30:11 | *Untitled - Notepad | notepad.exe | jack
2026-07-15 16:30:12 |  | Explorer.EXE | jack
2026-07-15 16:30:13 |  | Explorer.EXE | jack
2026-07-15 16:30:14 | Login Window | login.exe | jack
